df compare,df ref,parameter,rel change,p-value,reject 0.05,reject 0.01,reject 0.001
GNEO2,GNEO1,KmaOE,1.0,0.6718423908250459,False,False,False
GNEO2,GNEO1,KmaOE,5.0,0.6106887139417001,False,False,False
GNEO2,GNEO1,KmaOE,0.2,0.7006618027054443,False,False,False
GNEO2,GNEO1,KOG,0.5,0.6601604610979231,False,False,False
GNEO2,GNEO1,KOG,3.0,0.6985450256166659,False,False,False
GNEO2,GNEO1,KOG,2.0,0.6865319959311913,False,False,False
GNEO2,GNEO1,KOG,1.25,0.6583089421458931,False,False,False
GNEO2,GNEO1,KOG,4.0,0.5959932764531108,False,False,False
GNEO2,GNEO1,KOG,0.75,0.6657624116791561,False,False,False
GNEO2,GNEO1,KOG,0.25,0.6505536501849514,False,False,False
GNEO2,GNEO1,KOG,1.0,0.6718423908250459,False,False,False
GNEO2,GNEO1,KOG,5.0,0.707015831027659,False,False,False
GNEO2,GNEO1,KOG,0.2,0.650601571825143,False,False,False
GNEO2,GNEO1,KmiEN,0.5,0.5969958244373351,False,False,False
GNEO2,GNEO1,KmiEN,3.0,2.0672482178909704e-06,True,True,True
GNEO2,GNEO1,KmiEN,2.0,0.000331416331024157,True,True,True
GNEO2,GNEO1,KmiEN,1.25,0.12377835328913167,False,False,False
GNEO2,GNEO1,KmiEN,4.0,2.2491647943032414e-05,True,True,True
GNEO2,GNEO1,KmiEN,0.75,0.6009745898670148,False,False,False
GNEO2,GNEO1,KmiEN,0.25,0.5635626433597116,False,False,False
GNEO2,GNEO1,KmiEN,1.0,0.6718423908250459,False,False,False
GNEO2,GNEO1,KmiEN,5.0,0.002102593795472242,True,True,False
GNEO2,GNEO1,KmiEN,0.2,0.5482991689246305,False,False,False
GNEO2,GNEO1,KmaON,0.5,0.6949039234859796,False,False,False
GNEO2,GNEO1,KmaON,3.0,8.989814277602271e-08,True,True,True
GNEO2,GNEO1,KmaON,2.0,0.00013081169280906141,True,True,True
GNEO2,GNEO1,KmaON,1.25,0.2842961686236152,False,False,False
GNEO2,GNEO1,KmaON,4.0,1.2593055459115643e-07,True,True,True
GNEO2,GNEO1,KmaON,0.75,0.7249583602583737,False,False,False
GNEO2,GNEO1,KmaON,0.25,0.7185722198100367,False,False,False
GNEO2,GNEO1,KmaON,1.0,0.6718423908250459,False,False,False
GNEO2,GNEO1,KmaON,5.0,5.000815257576848e-05,True,True,True
GNEO2,GNEO1,KmaON,0.2,0.6487788682285057,False,False,False
GNEO2,GNEO1,KaaNG,0.5,0.6575006730810276,False,False,False
GNEO2,GNEO1,KaaNG,3.0,0.6606345900306871,False,False,False
GNEO2,GNEO1,KaaNG,2.0,0.6609189454351636,False,False,False
GNEO2,GNEO1,KaaNG,1.25,0.6726138428471551,False,False,False
GNEO2,GNEO1,KaaNG,4.0,0.6606108896149026,False,False,False
GNEO2,GNEO1,KaaNG,0.75,0.6612742608052904,False,False,False
GNEO2,GNEO1,KaaNG,0.25,0.6582376534092808,False,False,False
GNEO2,GNEO1,KaaNG,1.0,0.6718423908250459,False,False,False
GNEO2,GNEO1,KaaNG,5.0,0.6605871885637975,False,False,False
GNEO2,GNEO1,KaaNG,0.2,0.657619581531926,False,False,False
GNEO2,GNEO1,alphaGN,0.5,0.386558806566176,False,False,False
GNEO2,GNEO1,alphaGN,3.0,5.781453901201246e-09,True,True,True
GNEO2,GNEO1,alphaGN,2.0,0.02110244836556811,True,False,False
GNEO2,GNEO1,alphaGN,1.25,0.07317225505920397,False,False,False
GNEO2,GNEO1,alphaGN,4.0,1.0173720981381972e-08,True,True,True
GNEO2,GNEO1,alphaGN,0.75,0.753660484143262,False,False,False
GNEO2,GNEO1,alphaGN,0.25,0.38082442104996905,False,False,False
GNEO2,GNEO1,alphaGN,1.0,0.6718423908250459,False,False,False
GNEO2,GNEO1,alphaGN,5.0,1.7189399158772689e-06,True,True,True
GNEO2,GNEO1,alphaGN,0.2,0.6724268916960766,False,False,False
