network,parameter,par value,ic gata6,ic nanog,ic esrrb,ic oct4,ss gata6,ss nanog,ss esrrb,ss oct4,state,epi,pre,undefined
GNEO 1,K_OG,0.24,0.36840314986403866,0.1,0.994171714880008,13.0,13.601672154503273,2.425534006710213,12.309627731473284,12.320410615628685,pre,0,1.0,0
GNEO 1,K_OG,0.24,1.3572088082974532,0.1,0.994171714880008,13.0,13.606211439986076,2.4261395453617185,12.307264077850071,12.318062097083969,pre,0,1.0,0
GNEO 1,K_OG,0.24,1.3572088082974532,0.36840314986403866,1.0985856397258038,13.0,13.604033152902254,2.4258467413843166,12.308404115043336,12.319194834327595,pre,0,1.0,0
GNEO 1,K_OG,0.3,0.36840314986403866,0.1,0.994171714880008,13.0,13.601669598700278,2.4255341417812173,12.309627714060497,12.320410598327399,pre,0,1.0,0
GNEO 1,K_OG,0.3,1.3572088082974532,0.1,0.994171714880008,13.0,13.606209518253022,2.4261397652683407,12.307263730031348,12.318061751492422,pre,0,1.0,0
GNEO 1,K_OG,0.3,1.3572088082974532,0.36840314986403866,1.0985856397258038,13.0,13.604030946869228,2.4258469234031588,12.308403916259032,12.319194636816155,pre,0,1.0,0
GNEO 1,K_OG,0.6,0.36840314986403866,0.1,0.994171714880008,13.0,13.601609159555977,2.4255371681268505,12.3096277683698,12.320410652288944,pre,0,1.0,0
GNEO 1,K_OG,0.6,1.3572088082974532,0.1,0.994171714880008,13.0,13.606161966880261,2.4261445180557533,12.30725706181444,12.318055125973808,pre,0,1.0,0
GNEO 1,K_OG,0.6,1.3572088082974532,0.36840314986403866,1.0985856397258038,13.0,13.603977672271107,2.4258509123332312,12.308400251940192,12.319190995960891,pre,0,1.0,0
GNEO 1,K_OG,0.8999999999999999,0.36840314986403866,0.1,0.994171714880008,13.0,13.601419617785602,2.425544719248931,12.309633329150431,12.320416177462473,pre,0,1.0,0
GNEO 1,K_OG,0.8999999999999999,1.3572088082974532,0.1,0.994171714880008,13.0,13.605988751189704,2.4261542824720967,12.307254022268287,12.318052105890647,pre,0,1.0,0
GNEO 1,K_OG,0.8999999999999999,1.3572088082974532,0.36840314986403866,1.0985856397258038,13.0,13.603798309575382,2.42585984195856,12.308400486223286,12.319191228743808,pre,0,1.0,0
GNEO 1,K_OG,1.2,0.36840314986403866,0.1,0.994171714880008,13.0,13.601172729978215,2.4255505793467362,12.309651639230523,12.320434370298441,pre,0,1.0,0
GNEO 1,K_OG,1.2,1.3572088082974532,0.1,0.994171714880008,13.0,13.604387965460008,2.4259779537200026,12.30798159537181,12.318775020157553,pre,0,1.0,0
GNEO 1,K_OG,1.2,1.3572088082974532,0.36840314986403866,1.0985856397258038,13.0,13.603543502608373,2.4258646672981103,12.308422779491067,12.319213379262097,pre,0,1.0,0
GNEO 1,K_OG,1.5,0.36840314986403866,0.1,0.994171714880008,13.0,13.6009873887988,2.425551806247835,12.309674263894143,12.320456850090558,pre,0,1.0,0
GNEO 1,K_OG,1.5,1.3572088082974532,0.1,0.994171714880008,13.0,13.604230332877261,2.4259828608425935,12.307989776918125,12.318783149315342,pre,0,1.0,0
GNEO 1,K_OG,1.5,1.3572088082974532,0.36840314986403866,1.0985856397258038,13.0,13.603346324754403,2.4258643225816394,12.308451432769774,12.319241849066534,pre,0,1.0,0
GNEO 1,K_OG,2.4,0.36840314986403866,0.1,0.994171714880008,13.0,13.600729736121082,2.425541954979203,12.309738406819905,12.320520582292762,pre,0,1.0,0
GNEO 1,K_OG,2.4,1.3572088082974532,0.1,0.994171714880008,13.0,13.605665373860493,2.4262005797632975,12.307166704428333,12.31796534716915,pre,0,1.0,0
GNEO 1,K_OG,2.4,1.3572088082974532,0.36840314986403866,1.0985856397258038,13.0,13.603141468170595,2.4258614605117717,12.308488219742125,12.319278400482492,pre,0,1.0,0
GNEO 1,K_OG,3.5999999999999996,0.36840314986403866,0.1,0.994171714880008,13.0,13.600959080836947,2.4255758172175725,12.309608973547249,12.320391977814442,pre,0,1.0,0
GNEO 1,K_OG,3.5999999999999996,1.3572088082974532,0.1,0.994171714880008,13.0,13.605625920929851,2.4261998459988003,12.307174392839253,12.317972986349208,pre,0,1.0,0
GNEO 1,K_OG,3.5999999999999996,1.3572088082974532,0.36840314986403866,1.0985856397258038,13.0,13.60310647881253,2.425861247019616,12.308493769764763,12.319283914966917,pre,0,1.0,0
GNEO 1,K_OG,4.8,0.36840314986403866,0.1,0.994171714880008,13.0,13.601386432278634,2.4256337275498665,12.309381011803877,12.320165475768404,pre,0,1.0,0
GNEO 1,K_OG,4.8,1.3572088082974532,0.1,0.994171714880008,13.0,13.605655168693428,2.4262045158169023,12.307156813443934,12.317955519519248,pre,0,1.0,0
GNEO 1,K_OG,4.8,1.3572088082974532,0.36840314986403866,1.0985856397258038,13.0,13.604600151437914,2.426064086580937,12.307708070962661,12.318503247195137,pre,0,1.0,0
GNEO 1,K_OG,6.0,0.36840314986403866,0.1,0.994171714880008,13.0,13.607939982104451,2.4265166270597325,12.305957386049387,12.31676377236499,pre,0,1.0,0
GNEO 1,K_OG,6.0,1.3572088082974532,0.1,0.994171714880008,13.0,13.60566663769895,2.426206269421254,12.30715017362812,12.317948922219877,pre,0,1.0,0
GNEO 1,K_OG,6.0,1.3572088082974532,0.36840314986403866,1.0985856397258038,13.0,13.60505624579891,2.426125506589123,12.307475555140298,12.318272220231043,pre,0,1.0,0
