network,num variables,parameter,parameter value,rel change,ic gata6,ic nanog,ic esrrb,ic oct4,ss gata6,ss nanog,ss esrrb,ss oct4,num sfp,mean epi gata6,mean epi nanog,mean pre gata6,mean pre nanog,condition 1,condition 2,time ss,distance,velocity
GN,2,KaaNG,6.0,5.0,0.1,0.1,0.994171714880008,13.0,1.0094170977501475,2.469419942610276,1.0094170977501475,1.0094170977501475,1,-1.0,-1.0,-1.0,-1.0,False,,27.650321949198926,2.5379500235661823,0.09178735886797552
GN,2,KaaNG,6.0,5.0,0.11182579648071041,0.1,0.994171714880008,13.0,1.0094692792468334,2.4694202898296864,1.0094692792468334,1.0094692792468334,1,-1.0,-1.0,-1.0,-1.0,False,,27.68498701864255,2.5337553812491627,0.09152091635596504
GN,2,KaaNG,6.0,5.0,0.12505008758545266,0.1,0.994171714880008,13.0,1.0095343637502807,2.469420714575491,1.0095343637502807,1.0095343637502807,1,-1.0,-1.0,-1.0,-1.0,False,,27.72171564341726,2.5291237528919477,0.09123258406600489
GN,2,KaaNG,6.0,5.0,0.1398382564422584,0.1,0.994171714880008,13.0,1.009585736040716,2.4694210490452164,1.009585736040716,1.009585736040716,1,-1.0,-1.0,-1.0,-1.0,False,,27.76111135221339,2.524008079607988,0.09091884138156987
GN,2,KaaNG,6.0,5.0,0.15637524405129377,0.1,0.994171714880008,13.0,1.0096354602105575,2.4694213720963947,1.0096354602105575,1.0096354602105575,1,-1.0,-1.0,-1.0,-1.0,False,,27.80381039834835,2.5183746018071487,0.09057659960005876
GN,2,KaaNG,6.0,5.0,0.174867862159014,0.1,0.994171714880008,13.0,1.0096905979910713,2.469421729374135,1.0096905979910713,1.0096905979910713,1,-1.0,-1.0,-1.0,-1.0,False,,27.850485224509285,2.5121879571187415,0.09020266386267263
GN,2,KaaNG,6.0,5.0,0.1955473796481082,0.1,0.994171714880008,13.0,1.0097341682026275,2.469422010796958,1.0097341682026275,1.0097341682026275,1,-1.0,-1.0,-1.0,-1.0,False,,27.90185726908793,2.5054063127376804,0.08979353197084068
GN,2,KaaNG,6.0,5.0,0.2186724147886556,0.1,0.994171714880008,13.0,1.0096975597876576,2.469421774236726,1.0096975597876576,1.0096975597876576,1,-1.0,-1.0,-1.0,-1.0,False,,27.958705767223115,2.497975244922937,0.08934516732356736
GN,2,KaaNG,6.0,5.0,0.24453216952101695,0.1,0.994171714880008,13.0,1.0097493699562061,2.469422108832999,1.0097493699562061,1.0097493699562061,1,-1.0,-1.0,-1.0,-1.0,False,,28.02188285034896,2.4899233911244103,0.08885639142886514
GN,2,KaaNG,6.0,5.0,0.27345004621843816,0.1,0.994171714880008,13.0,1.009801428247643,2.4694224441061716,1.009801428247643,1.009801428247643,1,-1.0,-1.0,-1.0,-1.0,False,,28.09233388595033,2.481204561589065,0.08832319064917481
