df compare,df ref,parameter,rel change,p-value,reject 0.05,reject 0.01,reject 0.001
GNEO2,GNEO1,KmiEN,3.0,2.0672482178909704e-06,True,True,True
GNEO2,GNEO1,KmiEN,0.25,0.5635626433597116,False,False,False
GNEO2,GNEO1,KmiEN,2.0,0.000331416331024157,True,True,True
GNEO2,GNEO1,KmiEN,1.25,0.12377835328913167,False,False,False
GNEO2,GNEO1,KmiEN,0.2,0.5482991689246305,False,False,False
GNEO2,GNEO1,KmiEN,5.0,0.002102593795472242,True,True,False
GNEO2,GNEO1,KmiEN,0.5,0.5969958244373351,False,False,False
GNEO2,GNEO1,KmiEN,1.0,0.6718423908250459,False,False,False
GNEO2,GNEO1,KmiEN,4.0,2.2491647943032414e-05,True,True,True
GNEO2,GNEO1,KmiEN,0.75,0.6009745898670148,False,False,False
GNEO2,GNEO1,KmaON,3.0,8.989814277602271e-08,True,True,True
GNEO2,GNEO1,KmaON,0.25,0.7185722198100367,False,False,False
GNEO2,GNEO1,KmaON,2.0,0.00013081169280906141,True,True,True
GNEO2,GNEO1,KmaON,1.25,0.2842961686236152,False,False,False
GNEO2,GNEO1,KmaON,0.2,0.6487788682285057,False,False,False
GNEO2,GNEO1,KmaON,5.0,5.000815257576848e-05,True,True,True
GNEO2,GNEO1,KmaON,0.5,0.6949039234859796,False,False,False
GNEO2,GNEO1,KmaON,1.0,0.6718423908250459,False,False,False
GNEO2,GNEO1,KmaON,4.0,1.2593055459115643e-07,True,True,True
GNEO2,GNEO1,KmaON,0.75,0.7249583602583737,False,False,False
GNEO2,GNEO1,KOG,3.0,0.6985450256166659,False,False,False
GNEO2,GNEO1,KOG,0.25,0.6505536501849514,False,False,False
GNEO2,GNEO1,KOG,2.0,0.6865319959311913,False,False,False
GNEO2,GNEO1,KOG,1.25,0.6583089421458931,False,False,False
GNEO2,GNEO1,KOG,0.2,0.650601571825143,False,False,False
GNEO2,GNEO1,KOG,5.0,0.707015831027659,False,False,False
GNEO2,GNEO1,KOG,0.5,0.6601604610979231,False,False,False
GNEO2,GNEO1,KOG,1.0,0.6718423908250459,False,False,False
GNEO2,GNEO1,KOG,4.0,0.5959932764531108,False,False,False
GNEO2,GNEO1,KOG,0.75,0.6657624116791561,False,False,False
GNEO2,GNEO1,KmiNG,1.0,0.6718423908250459,False,False,False
GNEO2,GNEO1,KmiNG,0.75,0.34978186845175185,False,False,False
GNEO2,GNEO1,alphaGN,1.0,0.6718423908250459,False,False,False
