df compare,df ref,parameter,rel change,p-value,reject 0.05,reject 0.01,reject 0.001
GNEO1,GN,KmaOE,0.5,0.010078348010796984,True,False,False
GNEO1,GN,KmaOE,0.2,0.010078348010796984,True,False,False
GNEO1,GN,KmaOE,1.0,0.010078348010796984,True,False,False
GNEO1,GN,KmaOE,0.25,0.010078348010796984,True,False,False
GNEO1,GN,KmaOE,4.0,0.010078348010796984,True,False,False
GNEO1,GN,KmaOE,0.75,0.010078348010796984,True,False,False
GNEO1,GN,KmaOE,5.0,0.010078348010796984,True,False,False
GNEO1,GN,KmaOE,3.0,0.010078348010796984,True,False,False
GNEO1,GN,KmaOE,1.25,0.010078348010796984,True,False,False
GNEO1,GN,KmaOE,2.0,0.010078348010796984,True,False,False
GNEO1,GN,KOG,0.5,0.010537068769099435,True,False,False
GNEO1,GN,KOG,0.2,0.01079067626714105,True,False,False
GNEO1,GN,KOG,1.0,0.010078348010796984,True,False,False
GNEO1,GN,KOG,0.25,0.01079067626714105,True,False,False
GNEO1,GN,KOG,4.0,0.0019809402638724135,True,True,False
GNEO1,GN,KOG,0.75,0.010479425125040446,True,False,False
GNEO1,GN,KOG,5.0,0.0001403898195090323,True,True,True
GNEO1,GN,KOG,3.0,0.0034046802903234894,True,True,False
GNEO1,GN,KOG,1.25,0.010165521953632382,True,False,False
GNEO1,GN,KOG,2.0,0.006809103115043611,True,True,False
GNEO1,GN,alphaEO,0.5,0.011879001463270769,True,False,False
GNEO1,GN,alphaEO,0.2,0.03332156890563213,True,False,False
GNEO1,GN,alphaEO,1.0,0.010078348010796984,True,False,False
GNEO1,GN,alphaEO,0.25,0.021036939113242174,True,False,False
GNEO1,GN,alphaEO,4.0,0.007542141134843732,True,True,False
GNEO1,GN,alphaEO,0.75,0.011933216845441859,True,False,False
GNEO1,GN,alphaEO,5.0,0.008103973798826694,True,True,False
GNEO1,GN,alphaEO,3.0,0.010959570717757364,True,False,False
GNEO1,GN,alphaEO,1.25,0.010318773274175201,True,False,False
GNEO1,GN,alphaEO,2.0,0.01153862031371194,True,False,False
GNEO1,GN,KmaON,0.5,0.009420495122505467,True,True,False
GNEO1,GN,KmaON,0.2,0.007158992558254409,True,True,False
GNEO1,GN,KmaON,1.0,0.010078348010796984,True,False,False
GNEO1,GN,KmaON,0.25,0.005954667466514969,True,True,False
GNEO1,GN,KmaON,4.0,0.8493487819796064,False,False,False
GNEO1,GN,KmaON,0.75,0.006865934343988783,True,True,False
GNEO1,GN,KmaON,5.0,0.7376602172106457,False,False,False
GNEO1,GN,KmaON,3.0,0.7663754602638025,False,False,False
GNEO1,GN,KmaON,1.25,0.03686297841988236,True,False,False
GNEO1,GN,KmaON,2.0,0.43809504251799386,False,False,False
GNEO1,GN,KNEG,0.5,0.01007661120636405,True,False,False
GNEO1,GN,KNEG,0.2,0.01007661120636405,True,False,False
GNEO1,GN,KNEG,1.0,0.010078348010796984,True,False,False
GNEO1,GN,KNEG,0.25,0.01007661120636405,True,False,False
GNEO1,GN,KNEG,4.0,0.010100950250988214,True,False,False
GNEO1,GN,KNEG,0.75,0.010078348010796984,True,False,False
GNEO1,GN,KNEG,5.0,0.010111396963094274,True,False,False
GNEO1,GN,KNEG,3.0,0.010092251852825708,True,False,False
GNEO1,GN,KNEG,1.25,0.010081822403351209,True,False,False
GNEO1,GN,KNEG,2.0,0.010087035951883611,True,False,False
GNEO1,GN,KmiEN,0.5,0.01536208829812362,True,False,False
GNEO1,GN,KmiEN,0.2,0.018378409342567785,True,False,False
GNEO1,GN,KmiEN,1.0,0.010078348010796984,True,False,False
GNEO1,GN,KmiEN,0.25,0.01708602254700597,True,False,False
GNEO1,GN,KmiEN,4.0,0.49388023406314263,False,False,False
GNEO1,GN,KmiEN,0.75,0.012238338122730827,True,False,False
GNEO1,GN,KmiEN,5.0,0.21582164970649492,False,False,False
GNEO1,GN,KmiEN,3.0,0.5879507124489204,False,False,False
GNEO1,GN,KmiEN,1.25,0.0643027996599264,False,False,False
GNEO1,GN,KmiEN,2.0,0.36641010036345956,False,False,False
GNEO1,GN,KaaNG,0.5,0.0012056199913860184,True,True,False
GNEO1,GN,KaaNG,0.2,0.10514847807583755,False,False,False
GNEO1,GN,KaaNG,1.0,0.010078348010796984,True,False,False
GNEO1,GN,KaaNG,0.25,0.08935653526506826,False,False,False
GNEO1,GN,KaaNG,4.0,1.0,False,False,False
GNEO1,GN,KaaNG,0.75,2.1111705238685008e-05,True,True,True
GNEO1,GN,KaaNG,3.0,1.0,False,False,False
GNEO1,GN,KaaNG,1.25,0.16861316020875622,False,False,False
GNEO1,GN,KaaNG,2.0,0.9999999340973753,False,False,False
GNEO1,GN,KEG,0.5,0.010106172429250656,True,False,False
GNEO1,GN,KEG,0.2,0.010726322761520683,True,False,False
GNEO1,GN,KEG,1.0,0.010078348010796984,True,False,False
GNEO1,GN,KEG,0.25,0.010165521953632382,True,False,False
GNEO1,GN,KEG,4.0,0.01007661120636405,True,False,False
GNEO1,GN,KEG,0.75,0.010083559991536525,True,False,False
GNEO1,GN,KEG,5.0,0.01007661120636405,True,False,False
GNEO1,GN,KEG,3.0,0.01007661120636405,True,False,False
GNEO1,GN,KEG,1.25,0.010078348010796984,True,False,False
GNEO1,GN,KEG,2.0,0.01007661120636405,True,False,False
GNEO1,GN,KmiNG,1.0,0.010078348010796984,True,False,False
GNEO1,GN,KmiNG,0.75,3.2066191665165566e-45,True,True,True
GNEO1,GN,alphaGN,1.0,0.010078348010796984,True,False,False
